Date,Year,Event Type,Perpetrator,Country,Location,Latitude,Longitude,Fatalities,Summary
22-Jul-20,2020,Change to group/activity,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Waijroko,10.9339,12.5268,0,"On 22 July 2020, Boko Haram mounted a roadblock at Wajiroko (Damboa LGA, Borno) searching for members of security forces and humanitarian organizations. 30 vehicles were screened and no fatalities reported."
22-Jul-20,2020,Attack,Unidentified Armed Group (Nigeria),Nigeria,Auchi,7.0667,6.2667,0,"Around 22 July 2020 (as reported), unidentified gunmen attacked the residence of the Edo Commissioner for Youths in Udaba Ekphei in Etsako West LGA (Edo), injured family members and destroyed property. The Commissioner was not at home."
22-Jul-20,2020,Armed clash,Unidentified Armed Group (Nigeria),Nigeria,Oban,5.3192,8.5795,1,"On 22 July 2020, unidentified gunmen clashed with police officers and abducted 4 Chinese workers in Oban (Akamkpa LGA, Cross River). 1 police officer who guarded the company was killed."
23-Jul-20,2020,Looting/property destruction,Islamic State (West Africa),Niger,Diffa,13.32,12.61,0,"On 23 July 2020, presumed ISWAP militants attacked the village [also an IDP site] of Assaga near Diffa (Diffa, Diffa). Guards monitoring a construction site for brick production reportedly fled upon the arrival of the militants who vandalized the refugee housing unit used by the guards as shelter, solar panels, the water pumping system and other infrastructure, and pillaged materiel in the village. ISWAP claimed responsibility and said it burned seven government buildings in the city of Diffa."
23-Jul-20,2020,Armed clash,Islamic State (West Africa),Nigeria,Wulgo,12.4839,14.1813,0,"On 23 July 2020, ISWAP claimed to have attacked Wulgo (Ngala LGA, Borno). Whilst no casualties were reported, ISWAP claimed that they killed several soldiers."
23-Jul-20,2020,Abduction/forced disappearance,Islamic State (West Africa) and/or Boko Haram - JAS,Niger,NGouli,13.3616,12.6966,0,"On 23 July 2020, ISWAP or Boko Haram militants made an incursion into the village of NGouli (Gueskerou, Diffa) and abducted a girl."
23-Jul-20,2020,Looting/property destruction,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Cheripouri,11.1768,14.0725,0,"On 23 July 2020, Boko Haram looted several houses in Cheripouri village (Mayo-Sava, Extreme-Nord), taking away clothes."
23-Jul-20,2020,Looting/property destruction,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Magumeri,12.1131,12.8274,0,"On 23 July 2020, Boko Haram looted Magumeri (Magumeri LGA, Borno) and stole cows. No attacks on civilians were reported."
23-Jul-20,2020,Attack,Unidentified Armed Group (Nigeria),Nigeria,Jada,8.7667,12.15,1,"On 23 July 2020, unidentified gunmen abducted a police inspector, a councilor and 4 other civilians from Koma in Jada LGA (Adamawa). A Fulani was shot and killed by the kidnappers."
23-Jul-20,2020,Armed clash,Unidentified Armed Group (Nigeria),Nigeria,Barkin Ladi,9.5333,8.9,0,"On 23 July 2020, unidentified gunmen clashed with police prison guards during an attack at a court building in Barkin Ladi (Barkin Ladi LGA, Plateau). The gunmen overpowered officers of the Nigerian Correctional Service and freed inmates."
24-Jul-20,2020,Remote explosive/landmine/IED,Islamic State (West Africa),Nigeria,Monguno,12.6786,13.6079,0,"On 24 July 2020, ISWAP militant targeted an aid vehicle on the road connecting Monguno and Gajiram towns in Borno state using an IED, injuring those on board."
24-Jul-20,2020,Abduction/forced disappearance,Islamic State (West Africa),Nigeria,Damboa,11.156,12.7576,0,"On 24 July 2020, ISWAP claimed to have abducted a Christian on the Maiduguri-Damboa road (coded as Damboa LGA, Borno)."
24-Jul-20,2020,Armed clash,Islamic State (West Africa),Nigeria,Gombe,10.2897,11.1673,3,"On 24 July 2020, ISWAP claimed to have clashed with a local militia in Falgori village in Gombe State. 3 people were killed."
24-Jul-20,2020,Attack,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Gajiram,12.493,13.2091,0,"On 24 July 2020, Boko Haram mounted a roadblock at Aligambari in Nganzai LGA (Borno) on the Monguno-Maiduguri road and fired at the vehicle of a Humanitarian organization."
24-Jul-20,2020,Attack,Islamic State (West Africa) and/or Boko Haram - JAS,Nigeria,Muna Dalti,11.8684,13.2445,0,"On 24 July 2020, Boko Haram attacked residents of Muna Dalti (Jere LGA, Borno) who searched for firewood and went to their farms. Many residents are missing."
24-Jul-20,2020,Attack,Unidentified Armed Group (Nigeria),Nigeria,Sabongida,8.7609,10.8839,1,"Around 24 July 2020 (as reported), unidentified gunmen killed a Tiv woman in Sabongida (Gassol LGA, Taraba)."
25-Jul-20,2020,Armed clash,Islamic State (West Africa),Nigeria,Damboa,11.156,12.7576,10,"On 25 July 2020, ISWAP claimed an ambush on a Nigerian Army patrol along the Damboa Road in Borno. Reports suggest at least 10 soldiers were killed in the attack"
25-Jul-20,2020,Armed clash,Islamic State (West Africa),Nigeria,Tungushe,11.9621,13.1433,10,"On 25 July 2020, ISWAP attacked the Nigerian army barracks in the municipality of Tungushe (Jere, Borno), killing and injuring several soldiers and also seized weapons. Unknown number of fatalities coded as 10."
25-Jul-20,2020,Attack,Islamic State (West Africa) and/or Boko Haram - JAS,Cameroon,Zelevet,11.0051,13.8014,1,"On 25 July 2020, Boko Haram attacked the village of Zelevet, Mokolo subdivision (Mayo-Tsanaga, Extreme-Nord), killing one person."
26-Jul-20,2020,Armed clash,Islamic State (West Africa),Nigeria,Baga,13.0947,13.8234,10,"On 26 July 2020, ISWAP ambushed and clashed with Nigerian soldiers on the road between Cross Kawa and Baga (Kukawa, Borno), killing and injuring an unknown number of soldiers. Unknown fatalities coded as 10"
